NAME,NAMELSAD,inc_date,p1850,d1850,p1860,d1860,d1860SF,p1870,d1870,p1880,d1880,p1890,d1890,d1890SF,p1900,d1900,p1910,d1910,p1920,d1920,d1920SF,p1930,d1930,p1940,d1940,p1950,d1950,d1950SF,p1960,d1960,p1970,d1970,p1980,d1980,d1980SF,p1990,d1990,p2000,d2000,p2010,d2010,d2010SF,GEOID,ALAND_MI
Alameda,Alameda,1853,,0,8927,12.11,12.11,24237,32.87,62976,85.41,93864,127.31,127.31,130197,177,246131,334,344177,467,467,474883,644,513011,696,740315,1004,1004,908209,1232,1071446,1453,1105379,1499,1499,1279182,1735,1443741,1958,1510271,2048,2048,6001,737.3071342
Alpine,Alpine,1864,,0,,0,0,685,0.93,539,0.73,667,0.9,0.9,509,1,309,0,243,0,0,241,0,323,0,241,0,0,397,1,484,1,1097,1,1,1113,2,1208,2,1175,2,2,6003,738.340344
Amador,Amador,1854,,0,10930,18.38,18.38,9582,16.12,11384,19.15,10320,17.36,17.36,11116,19,9086,15,7793,13,13,8494,14,8973,15,9151,15,15,9990,17,11821,20,19314,32,32,30039,51,35100,59,38091,64,64,6005,594.571703
Butte,Butte,1850,3574,2.18,12106,7.4,7.4,11403,6.97,18721,11.44,17939,10.96,10.96,17117,10,27301,17,30030,18,18,34093,21,42840,26,64930,40,40,82030,50,101969,62,143851,88,88,182120,111,203171,124,220000,134,134,6007,1636.470206
Calaveras,Calaveras,1850,16884,16.55,16299,15.98,15.98,8895,8.72,9094,8.92,8882,8.71,8.71,11200,11,9171,9,6183,6,6,6008,6,8221,8,9902,10,10,10289,10,13585,13,20710,20,20,31998,31,40554,40,45578,45,45,6009,1020.016
Colusa,Colusa,1850,115,0.1,2274,1.98,1.98,6165,5.36,13118,11.4,14640,12.72,12.72,7364,6,7732,7,9290,8,8,10258,9,9788,9,11651,10,10,12075,10,12430,11,12791,11,11,16275,14,18804,16,21419,19,19,6011,1150.712999
Contra_Costa,Contra Costa,1850,,0,5328,7.43,7.43,8461,11.8,12525,17.47,13515,18.85,18.85,18046,25,31674,44,53889,75,75,78608,110,100450,140,298984,417,417,409030,570,556116,775,656331,915,915,803732,1121,948816,1323,1049025,1463,1463,6013,717.1117793
Del_Norte,Del Norte,1857,,0,1993,1.98,1.98,2022,2.01,2584,2.57,2592,2.58,2.58,2408,2,2417,2,2759,3,3,4739,5,4745,5,8078,8,8,17771,18,14580,14,18217,18,18,23460,23,27507,27,28610,28,28,6015,1006.227825
El_Dorado,El Dorado,1850,20057,11.74,20562,12.04,12.04,10309,6.04,10683,6.26,9232,5.41,5.41,8986,5,7492,4,6426,4,4,8325,5,13229,8,16207,9,9,29390,17,43833,26,85812,50,50,125995,74,156299,92,181058,106,106,6017,1707.842096
Fresno,Fresno,1856,,0,4605,0.77,0.77,6336,1.06,9478,1.59,32026,5.38,5.38,37862,6,75657,13,128779,22,22,144379,24,178565,30,276515,46,46,365945,61,413329,69,514621,86,86,667490,112,799407,134,930450,156,156,6019,5958.101049
Glenn,Glenn,1891,,0,,0,0,,0,,0,,0,0,5150,4,7172,5,11853,9,9,10935,8,12195,9,15448,12,12,17245,13,17521,13,21350,16,16,24798,19,26453,20,28122,21,21,6021,1313.963393
Humboldt,Humboldt,1853,,0,2694,0.76,0.76,6140,1.72,15512,4.35,23469,6.58,6.58,27104,8,33857,9,37413,10,10,43233,12,45812,13,69241,19,19,104892,29,99692,28,108525,30,30,119118,33,126518,35,134623,38,38,6023,3568.067396
Imperial,Imperial,1907,,0,,0,0,,0,,0,,0,0,,0,13591,3,43453,10,10,60903,15,59740,14,62975,15,15,72105,17,74492,18,92110,22,22,109303,26,142361,34,174528,42,42,6025,4176.579826
Inyo,Inyo,1866,,0,,0,0,1956,0.19,2928,0.29,3544,0.35,0.35,4377,0,6974,1,7031,1,1,6555,1,7625,1,11658,1,1,11684,1,15571,2,17895,2,2,18281,2,17945,2,18546,2,2,6027,10180.93846
Kern,Kern,1866,,0,,0,0,2925,0.36,5601,0.69,9808,1.21,1.21,16480,2,37715,5,54843,7,7,82570,10,135124,17,228309,28,28,291984,36,330234,41,403089,50,50,543477,67,661645,81,839631,103,103,6029,8132.236054
Kings,Kings,1893,,0,,0,0,,0,,0,,0,0,9871,7,16230,12,22031,16,16,25385,18,35168,25,46768,34,34,49954,36,66717,48,73738,53,53,101469,73,129461,93,152982,110,110,6031,1389.424726
Lake,Lake,1861,,0,,0,0,2969,2.36,6596,5.25,7101,5.65,5.65,6017,5,5526,4,5402,4,4,7166,6,8069,6,11481,9,9,13786,11,19548,16,36366,29,29,50631,40,58309,46,64665,51,51,6033,1256.511085
Lassen,Lassen,1864,,0,,0,0,1327,0.29,3340,0.74,4239,0.93,0.93,4511,1,4802,1,8507,2,2,12589,3,14479,3,18474,4,4,13597,3,16796,4,21661,5,5,27598,6,33828,7,34895,8,8,6035,4541.185369
